	MS28F1_sample2	MS28F1_sample3	MS28F1_sample4	MS28F1_sample5	MS28F1_sample6	MS28F1_sample7	MS28F1_sample8	MS28F1_sample9	MS28F1_sample11	MS28F1_sample14
mmu-miR-378b	5.66666666666667	3.33333333333333	4.33333333333333	5.16666666666667	5.33333333333333	5.91666666666667	1.66666666666667	6	6.33333333333333	9.58333333333333
mmu-miR-20b-5p	5.5	6	1	2	8	1	1	2	4.5	7
mmu-miR-29b-2-5p	5	3	2	4	6	4	3	13	10	12
mmu-miR-877-5p	5	2	2	2	1	3	0	2	6	2
mmu-miR-874-3p	5	2	7	6	1	1	6	8	11	9
mmu-miR-1843b-3p	5	5	6	4	1	1	0	12	12	13
mmu-miR-6988-3p	5	2	0	1	1	1	1	4	1	1
mmu-miR-700-3p	5	7	5	5	8	6	10	8	12	7
mmu-miR-148b-5p	5	4	4	4	6	6	4	6	10	7
mmu-miR-136-5p	5	1	13	12	12	19	9	11	8	12
mmu-miR-16-2-3p	5	8	6	5	5	4	9	7	7	10
mmu-let-7f-1-3p	5	3	4	5	5	6	5	5	3	6
mmu-miR-677-5p	5	1	6	1	5	8	6	8	8	4
mmu-miR-98-3p	5	4	4	3	1	5	7	2	4	7
mmu-miR-379-3p	5	6	5	10	7	6	4	4	13	14
mmu-miR-1843a-3p	5	4	2	5	3	8	2	8	5	6
mmu-miR-664-5p	5	2	6	4	1	4	7	2	9	11
mmu-miR-485-5p	5	6	8	9	5	8	6	9	11	19
mmu-miR-467d-5p	5	5	2	5	6	4	2	7	6	2
mmu-miR-127-5p	5	11	12	14	9	11	9	7	14	12
mmu-miR-669d-5p	4	1	1	3	2	4	1	5	7	11
mmu-miR-139-3p	4	5	2	2	0	3	2	9	2	5
mmu-let-7e-3p	4	0	2	3	2	0	1	1	6	1
mmu-miR-369-5p	4	1	2	6	3	1	2	4	11	6
mmu-miR-363-3p	4	4	4	1	1	0	4	7	4	8
mmu-miR-547-3p	4	4	5	0	1	3	4	6	8	4
mmu-miR-677-3p	4	1	2	0	2	0	0	3	0	0
mmu-miR-125a-3p	4	3	8	2	2	3	5	4	12	6
mmu-miR-741-3p	4	1	2	3	5	6	2	6	11	8
